celebrity_name,season,is_final_reached,low_score_advanced_count,weeks_participated,estimated_total_votes,estimated_votes_min,estimated_votes_max
Alyson Hannigan,32,True,6,11,1777821064.572982,1422256851.6583858,2133385277.4875784
Nelly,29,True,5,11,1985144982.6082723,1588115986.086618,2382173979.1299267
Cody Rigsby,30,True,4,11,3366434139.7869997,2693147311.8296,4039720967.7443995
Iman Shumpert,30,True,4,11,1836916432.0059998,1469533145.6048,2204299718.4072
Jerry Rice,2,True,3,11,2282128329.7978916,1825702663.8383133,2738553995.7574697
