season,week,celebrity_name,vote_mean,vote_lower_95,vote_upper_95,vote_sd
1,1,Rachel Hunter,0.17755888462695815,0.14001709919623387,0.21630339042245592,0.018064252546334116
1,1,Trista Sutter,0.17661083312982556,0.14617640216260422,0.24016001736013423,0.024464170148296358
1,1,John O'Hurley,0.16667152083989814,0.13301124354202526,0.20311020051111967,0.01920704460236158
1,1,Joey McIntyre,0.16194873649703173,0.12728120987342936,0.19309424078822107,0.01768469556993654
1,1,Kelly Monaco,0.15941825058913753,0.12730494919212976,0.1995317482446978,0.019810386059199617
1,1,Evander Holyfield,0.15779177431714891,0.12075107121134995,0.18987996522377318,0.01475323411406753
1,2,Rachel Hunter,0.17591900967803523,0.1448937207573097,0.2176983558219088,0.018804838186775984
1,2,Kelly Monaco,0.1741964449548012,0.1300749087309574,0.21376644871157086,0.022874889815298855
1,2,Trista Sutter,0.1642942500083362,0.12116346504046224,0.21944862028357576,0.024399489801583192
1,2,John O'Hurley,0.16381317564135828,0.14154788247872105,0.1946790656211413,0.013119591837313515
1,2,Evander Holyfield,0.16374071810518137,0.1260453592879018,0.19835371501225127,0.017745226440249066
1,2,Joey McIntyre,0.1580364016122877,0.12482034198080756,0.1935807899357132,0.02043729514749563
1,3,Kelly Monaco,0.20778124481070454,0.15844884591067923,0.24192736710993412,0.02041932823324265
1,3,Rachel Hunter,0.2004566040930178,0.1680214092213524,0.2562934839122735,0.023272707309238652
1,3,Joey McIntyre,0.19910769783676247,0.15403464451344798,0.24597673601120684,0.0233979508783932
1,3,John O'Hurley,0.19694865121135136,0.17108829563795677,0.23139727033893995,0.015194258640962872
1,3,Evander Holyfield,0.19570580204816387,0.14799615066474656,0.22927228904333488,0.021570824570765316
1,4,Kelly Monaco,0.26001221604752445,0.21140875293138506,0.31378563810259563,0.02832651881100322
1,4,John O'Hurley,0.251365346909452,0.20232096516362064,0.2923118556322101,0.02363288219830005
1,4,Rachel Hunter,0.24908405385881224,0.19458213869110316,0.3092384513032131,0.029845519972795487
1,4,Joey McIntyre,0.23953838318421125,0.18729466606049894,0.2844630168755746,0.028383835281830885
1,5,Kelly Monaco,0.3452842057785511,0.2623879494107045,0.41913377685682285,0.03933217631029945
1,5,Joey McIntyre,0.334312114244063,0.2941850191587057,0.39962129111371364,0.02457015898550364
1,5,John O'Hurley,0.3204036799773858,0.2589391059417319,0.3686640972230913,0.030018939600116864
1,6,Kelly Monaco,0.5091122582479563,0.41949155066364335,0.5833955033522469,0.04816360514327569
1,6,John O'Hurley,0.49088774175204375,0.4166044966477531,0.5805084493363566,0.04816360514327568
2,1,Master P,0.10759328194034613,0.08530468160647804,0.14044100845607396,0.014260146744139425
2,1,Drew Lachey,0.10640021303402082,0.06284444078150071,0.1342683643327924,0.01854793756745398
2,1,Tia Carrere,0.10400407699114318,0.05273035750743927,0.14104300386074786,0.01972663184922479
2,1,Kenny Mayne,0.10384616735981388,0.08462971489727149,0.12689210324241615,0.011347275530099605
2,1,Jerry Rice,0.1021919368882492,0.07486814928830862,0.14883926365095404,0.01999102632276178
