season,week,celebrity_name,vote_mean,vote_lower_95,vote_upper_95,vote_sd
29,4,84,0.05529570297184482,0.04423656237747586,0.06635484356621378,0.005529570297184483
29,4,46,0.045349617136198436,0.03627969370895875,0.054419540563438125,0.0045349617136198435
29,5,50,0.017715410535962876,0.014172328428770302,0.02125849264315545,0.0017715410535962877
29,5,20,0.048356619704930104,0.03868529576394408,0.058027943645916125,0.00483566197049301
29,5,99,0.10231503183784608,0.08185202547027687,0.1227780382054153,0.010231503183784608
29,5,61,0.0864838442904882,0.06918707543239055,0.10378061314858583,0.00864838442904882
29,5,110,0.04960397384629411,0.03968317907703529,0.05952476861555293,0.004960397384629411
29,5,57,0.1006271995980126,0.08050175967841008,0.12075263951761511,0.01006271995980126
29,5,86,0.13508011868027284,0.10806409494421827,0.1620961424163274,0.013508011868027284
29,5,0,0.06477843900165643,0.05182275120132515,0.07773412680198771,0.006477843900165644
29,5,85,0.13465641376822918,0.10772513101458335,0.16158769652187502,0.013465641376822919
29,5,62,0.13862261164499728,0.11089808931599783,0.16634713397399672,0.013862261164499729
29,5,84,0.06099645707069309,0.048797165656554474,0.07319574848483171,0.006099645707069309
29,5,46,0.06076388002061731,0.04861110401649385,0.07291665602474078,0.006076388002061731
29,6,20,0.05965525646375603,0.04772420517100483,0.07158630775650723,0.005965525646375603
29,6,99,0.07456017863639337,0.0596481429091147,0.08947221436367205,0.007456017863639338
29,6,61,0.13757181793232143,0.11005745434585715,0.1650861815187857,0.013757181793232143
29,6,110,0.02288006934810064,0.018304055478480515,0.027456083217720768,0.0022880069348100644
29,6,57,0.06770245255128149,0.05416196204102519,0.08124294306153779,0.006770245255128149
29,6,86,0.12798535424681232,0.10238828339744986,0.15358242509617478,0.012798535424681233
29,6,0,0.09093368729006278,0.07274694983205023,0.10912042474807533,0.009093368729006278
29,6,85,0.12870244762393082,0.10296195809914466,0.15444293714871699,0.012870244762393082
29,6,62,0.15612004081543132,0.12489603265234506,0.18734404897851759,0.015612004081543132
29,6,84,0.07245270683763348,0.05796216547010679,0.08694324820516018,0.007245270683763349
29,6,46,0.06143598825427641,0.04914879060342113,0.07372318590513169,0.006143598825427641
