season,week,celebrity_name,vote_mean,vote_lower_95,vote_upper_95,vote_sd
3,1,100,0.09106549923663994,0.07285239938931196,0.10927859908396792,0.009106549923663994
3,1,284,0.09125880913185845,0.07300704730548677,0.10951057095823014,0.009125880913185846
3,1,203,0.09320381603283098,0.07456305282626478,0.11184457923939718,0.009320381603283098
3,1,133,0.09268053060227009,0.07414442448181607,0.11121663672272411,0.00926805306022701
3,1,177,0.09273919581618487,0.07419135665294789,0.11128703497942184,0.009273919581618486
3,1,86,0.09290058255294822,0.07432046604235858,0.11148069906353787,0.009290058255294822
3,1,253,0.08652196176283149,0.06921756941026519,0.10382635411539778,0.008652196176283149
3,1,290,0.09147465722773494,0.07317972578218795,0.10976958867328193,0.009147465722773494
3,1,248,0.09234295010792058,0.07387436008633647,0.1108115401295047,0.009234295010792058
3,1,128,0.09217843405013891,0.07374274724011114,0.11061412086016668,0.009217843405013892
3,1,276,0.08363356347864144,0.06690685078291315,0.10036027617436973,0.008363356347864144
3,2,100,0.1007889479349392,0.08063115834795137,0.12094673752192703,0.010078894793493921
3,2,284,0.1008386036770662,0.08067088294165296,0.12100632441247942,0.01008386036770662
3,2,203,0.10272296945918857,0.08217837556735086,0.12326756335102629,0.010272296945918857
3,2,133,0.102360276317177,0.0818882210537416,0.12283233158061241,0.0102360276317177
3,2,177,0.10340387906704072,0.08272310325363258,0.12408465488044887,0.010340387906704072
3,2,86,0.1028351629833385,0.0822681303866708,0.1234021955800062,0.01028351629833385
3,2,253,0.08205865422484145,0.06564692337987316,0.09847038506980973,0.008205865422484145
3,2,290,0.10135219201991891,0.08108175361593513,0.12162263042390269,0.010135219201991891
3,2,248,0.10126052992043606,0.08100842393634886,0.12151263590452327,0.010126052992043607
3,2,128,0.10237878439605357,0.08190302751684286,0.12285454127526427,0.010237878439605358
3,3,100,0.09293243863039562,0.07434595090431649,0.11151892635647474,0.009293243863039561
3,3,284,0.11121912198813966,0.08897529759051173,0.13346294638576758,0.011121912198813966
3,3,203,0.1133624843420919,0.09068998747367352,0.13603498121051028,0.01133624843420919
3,3,133,0.11443122343041572,0.09154497874433258,0.13731746811649886,0.011443122343041573
3,3,177,0.11443063695199714,0.09154450956159771,0.13731676434239656,0.011443063695199714
3,3,86,0.11648288863614416,0.09318631090891533,0.139779466363373,0.011648288863614416
3,3,290,0.11284368049952065,0.09027494439961653,0.13541241659942477,0.011284368049952066
3,3,248,0.11104902701318556,0.08883922161054846,0.13325883241582268,0.011104902701318557
3,3,128,0.11324849850810963,0.0905987988064877,0.13589819820973154,0.011324849850810963
3,4,284,0.10289219861669197,0.08231375889335357,0.12347063834003036,0.010289219861669197
3,4,203,0.12946733531326776,0.10357386825061421,0.15536080237592131,0.012946733531326776
3,4,133,0.12766230745082655,0.10212984596066124,0.15319476894099185,0.012766230745082655
3,4,177,0.1272489196537659,0.10179913572301272,0.15269870358451906,0.01272489196537659
3,4,86,0.12923864294642318,0.10339091435713854,0.1550863715357078,0.012923864294642318
3,4,290,0.12541637172275188,0.10033309737820151,0.15049964606730226,0.012541637172275188
3,4,248,0.12983935596629398,0.10387148477303519,0.15580722715955278,0.012983935596629399
3,4,128,0.12823486832997877,0.10258789466398302,0.15388184199597452,0.012823486832997878
3,5,203,0.14970792492675372,0.11976633994140298,0.17964950991210446,0.014970792492675373
3,5,133,0.1520521897032344,0.12164175176258751,0.18246262764388127,0.01520521897032344
3,5,177,0.1496285536418202,0.11970284291345618,0.17955426437018424,0.014962855364182022
3,5,86,0.14924418361634503,0.11939534689307603,0.17909302033961402,0.014924418361634504
3,5,290,0.12025921652561491,0.09620737322049194,0.1443110598307379,0.012025921652561493
3,5,248,0.1273186062503507,0.10185488500028057,0.15278232750042084,0.012731860625035072
3,5,128,0.15178932533588113,0.12143146026870491,0.18214719040305735,0.015178932533588114
3,6,203,0.20167313293809697,0.16133850635047758,0.24200775952571635,0.020167313293809698
3,6,133,0.2007295476987666,0.1605836381590133,0.2408754572385199,0.020072954769876663
3,6,177,0.20139052854118353,0.16111242283294683,0.24166863424942023,0.020139052854118353
3,6,86,0.200939131841016,0.1607513054728128,0.2411269582092192,0.0200939131841016
3,6,128,0.19526765898093693,0.15621412718474956,0.2343211907771243,0.019526765898093695
3,7,203,0.2053796784895253,0.16430374279162024,0.24645561418743034,0.02053796784895253
3,7,133,0.20335196452323356,0.16268157161858687,0.24402235742788025,0.02033519645232336
3,7,177,0.2038837441974632,0.16310699535797057,0.2446604930369558,0.020388374419746322
3,7,86,0.20375452179866138,0.1630036174389291,0.24450542615839366,0.020375452179866138
3,7,128,0.1836300909911166,0.14690407279289328,0.22035610918933993,0.01836300909911166
3,8,203,0.21687628917604193,0.17350103134083356,0.2602515470112503,0.021687628917604194
3,8,133,0.2630544402699789,0.2104435522159831,0.31566532832397465,0.026305444026997887
3,8,177,0.257501679613253,0.2060013436906024,0.30900201553590356,0.0257501679613253
3,8,86,0.2625675909407263,0.21005407275258103,0.31508110912887155,0.02625675909407263
3,9,133,0.2878070320135999,0.23024562561087994,0.34536843841631987,0.028780703201359992
3,9,177,0.355997057886873,0.28479764630949844,0.4271964694642476,0.035599705788687305
3,9,86,0.35619591009952717,0.28495672807962175,0.4274350921194326,0.03561959100995272
3,10,177,0.4998610044289954,0.39988880354319634,0.5998332053147944,0.04998610044289954
3,10,86,0.5001389955710045,0.4001111964568036,0.6001667946852054,0.05001389955710045
4,1,134,0.09178690989541458,0.07342952791633166,0.1101442918744975,0.009178690989541457
