season,week,n_contestants,rho,p_value
17,2,12,0.9136157704280913,3.272255132099058e-05
17,3,11,0.7899625734105961,0.0038173876554122937
17,4,10,0.9757575757575757,1.4675461874042197e-06
17,5,9,0.6443571047419068,0.06103295769909979
17,6,8,0.7637626158259734,0.027396043909112044
17,7,8,0.9157291161525718,0.0014031743248924412
17,8,7,0.8288624656799143,0.021173515581004273
17,9,6,0.753702346348183,0.0835232813732598
17,10,5,0.8944271909999159,0.040519326353834
17,11,4,0.316227766016838,0.683772233983162
18,1,12,0.9103817221537509,3.910534427840821e-05
18,2,11,0.9090909090909091,0.00010559337630360869
18,3,9,0.7698812160552653,0.015240184856772943
18,4,7,0.8108437164260032,0.02691632884316199
18,5,9,0.6694619270045785,0.04856819494488676
18,6,8,0.8742671711966791,0.004512385603651026
18,7,7,0.9265616458263765,0.00269747609786969
18,8,6,0.2571428571428572,0.6227871720116618
18,9,5,0.8720815992723809,0.05385421772754211
18,10,4,,
19,1,13,0.9065934065934067,1.9296152005272254e-05
19,2,12,0.9193039046274801,2.350657612000038e-05
19,3,11,0.8127938616594571,0.002356110671949813
19,4,10,0.8924133096001623,0.0005138199647844681
19,5,9,0.8619322310183948,0.002805928967837699
19,6,9,0.803354312405494,0.009106405386878009
19,7,8,0.5006261743217589,0.20637138322918355
19,8,7,0.6736330697086078,0.09710371895937761
19,9,6,0.898645105261295,0.014888622005580344
19,10,5,0.46169025843831935,0.43376615616902786
19,11,4,0.9486832980505139,0.05131670194948612
20,1,12,0.9649182205059428,3.945432272231058e-07
20,2,12,0.8951048951048951,8.36658642909172e-05
20,3,11,0.9658339408657951,1.4034896344311907e-06
20,4,10,0.9240164263936982,0.00013295265816009116
20,5,9,0.9333333333333332,0.00023589981215941676
20,6,8,0.9523809523809524,0.00026040002438725105
20,7,7,0.054056247761733546,0.9083652825239955
20,8,6,0.9856107606091624,0.0003090856678496655
20,9,4,0.632455532033676,0.367544467966324
21,1,13,0.9656130180306802,8.883748294029092e-08
21,2,13,0.8626373626373626,0.00014744785947619764
21,3,10,0.8414790579803637,0.002271043198131101
21,4,10,0.8909090909090909,0.0005421442248338665
21,5,9,0.7647328842025762,0.016377691486705537
21,6,9,0.8954053273686235,0.0010985258735882698
21,7,8,0.8742671711966791,0.004512385603651026
21,8,7,0.7500000000000002,0.05218140045705776
21,9,6,0.8804062740424288,0.02059873477492037
21,10,4,-0.7999999999999999,0.20000000000000007
21,11,4,0.316227766016838,0.683772233983162
22,1,12,0.7832167832167832,0.0025862148333625915
22,2,12,0.8963217727768591,7.909099576093359e-05
22,3,11,0.9454545454545454,1.118303770149319e-05
22,4,10,0.8875420937728943,0.0006096659573243205
22,5,9,0.903773601456181,0.0008274112226859528
22,6,9,0.9288784237188525,0.0002945257641989606
22,7,8,0.8916309815169778,0.002928680906134816
22,8,6,0.9276336570439174,0.007665844187473182
22,9,5,0.8944271909999159,0.040519326353834
23,1,13,0.796146271686748,0.0011292395080601965
23,2,13,0.8374687425355412,0.00035353511133615485
23,3,12,0.9720279720279721,1.2868115751495013e-07
23,4,11,0.8929408132532823,0.00021517143044230894
23,5,9,0.6610936529170212,0.05252286046708899
23,6,9,0.6333333333333333,0.06708578689234565
23,7,8,0.7619047619047621,0.028004939153071794
23,8,7,0.5585812268712466,0.19245253188052203
23,9,6,0.48571428571428577,0.32872303206997094
23,10,5,0.8944271909999159,0.040519326353834
23,11,4,0.316227766016838,0.683772233983162
24,1,12,0.9440559440559443,3.927261080965945e-06
24,2,12,0.8741258741258742,0.00020071307332423193
24,3,11,0.8656058903985898,0.0005746337965529316
24,4,10,0.9019083851355777,0.00035929045438835643
24,5,9,0.6778302010921357,0.04480926269300501
24,6,8,0.7152697513290863,0.04608686981383742
24,7,7,0.8829187134416479,0.008450342381896611
24,8,5,0.8207826816681234,0.08858700531354378
24,9,4,0.632455532033676,0.367544467966324
25,1,13,0.8461538461538461,0.00026601205575225274
25,2,13,0.8800075339849788,7.258009693215805e-05
25,3,11,0.8454545454545455,0.0010451821458586869
25,4,11,0.9454545454545454,1.118303770149319e-05
25,5,10,0.7477238187264794,0.012899731006897746
25,6,9,0.9833333333333333,1.9361963037459243e-06
25,7,8,0.7857142857142858,0.020815127253525276
25,8,6,0.8804062740424288,0.02059873477492037
25,9,5,0.9486832980505137,0.013846832988859107
25,10,4,0.0,1.0
26,1,8,0.9700772721497398,6.548558831120599e-05
26,2,8,0.9036800488347748,0.0020757515937733376
26,3,6,0.7714285714285715,0.07239650145772594
27,1,13,0.7345261419207739,0.004243140900969807
27,2,12,0.8682018740230752,0.0002499953074797676
27,3,11,0.849323922857635,0.0009379698490142482
27,4,10,0.6605782590758164,0.03759926615332362
27,5,9,0.6778302010921357,0.04480926269300501
27,6,9,0.8786687791935092,0.0018157963245634217
27,7,8,0.8193365776101958,0.01281650190367177
27,8,6,0.33394720739540396,0.5177002083054396
27,9,4,0.7999999999999999,0.20000000000000007
28,1,12,0.795097679332747,0.0019934795684237016
28,2,12,0.9510489510489512,2.0384246324655723e-06
28,3,10,0.7173285415424762,0.019528343138302953
28,4,10,0.8389096502784892,0.002413988368815609
28,5,9,0.8499999999999999,0.003704777327585813
28,6,9,0.41666666666666663,0.26458604674749614
28,7,8,0.6626987024788349,0.07330582330837655
28,8,7,0.7500000000000002,0.05218140045705776
28,9,6,0.6957252427829381,0.12478933744028704
28,10,5,0.09999999999999999,0.8728885715695383
28,11,4,-0.2581988897471611,0.7418011102528389
29,1,15,0.7828421356528003,0.0005589454131856442
29,2,15,0.7406094140283834,0.0015878516763121878
29,3,14,0.6292633070731974,0.01590344032406534
29,4,13,0.8351648351648352,0.00038020808018512014
29,5,12,0.8391608391608393,0.0006428259886278202
29,6,11,0.6241474051821412,0.04012404790153547
29,7,10,0.6242424242424242,0.053717767217167395
29,8,8,0.7619047619047621,0.028004939153071794
29,9,7,0.6910233190806426,0.08556959003160274
29,10,6,0.8857142857142858,0.01884548104956266
29,11,4,0.6000000000000001,0.3999999999999999
30,1,15,0.6475860093678134,0.009049124128188046
30,2,15,0.8035955237342762,0.00030703923050769507
30,3,14,0.6754679554946562,0.008021707338133049
30,4,13,0.7757916555118286,0.0018272096953674687
30,5,11,0.5229577884350213,0.09881323107930529
30,6,10,0.9030303030303028,0.00034361219776328223
30,7,9,0.39999999999999997,0.2861051019083129
30,8,8,0.28571428571428575,0.4927262450169573
30,9,6,0.8857142857142858,0.01884548104956266
30,10,4,1.0,0.0
31,1,16,0.8321069407139406,6.388988338893158e-05
31,2,15,0.9588566326551051,1.7511784370466296e-08
31,3,14,0.853685885120282,0.00010256478736492329
31,4,13,0.7582417582417583,0.0026660786121372876
31,5,12,0.7775843798555644,0.002910172312861291
31,6,10,0.9422535927041001,4.535869822711168e-05
31,7,9,0.7666666666666667,0.01594401657897401
31,8,8,0.9036800488347748,0.0020757515937733376
31,9,6,0.9276336570439174,0.007665844187473182
31,10,4,0.7999999999999999,0.20000000000000007
32,1,14,0.8162821221124347,0.00036897040246682477
32,2,13,0.8406593406593407,0.00031907124069371434
32,3,12,0.9119944456891783,3.581059733458874e-05
32,4,11,0.7836011218345129,0.0043229900186627
32,5,10,0.7659609850368815,0.00978703990340832
32,6,9,0.8512565307587486,0.0036019340745684874
32,7,8,0.7857142857142858,0.020815127253525276
32,8,7,0.5273599014036483,0.22383660085324794
32,9,6,0.898645105261295,0.014888622005580344
32,10,5,0.46169025843831935,0.43376615616902786
32,11,5,0.8999999999999998,0.03738607346849874
33,1,13,0.8275869941378243,0.00047938393751189223
33,2,13,0.9141309310574838,1.2329674644558529e-05
33,3,11,0.8154918651649874,0.0022162916546952394
33,4,9,0.75,0.019942126131992522
33,5,8,0.7857142857142858,0.020815127253525276
33,6,7,0.3243374865704013,0.47788547973993134
33,7,6,0.5428571428571429,0.26570262390670557
33,8,5,0.6668859288553503,0.21889398131323154
33,9,5,0.19999999999999998,0.747060078104662
34,1,14,0.6299559471365639,0.01575322375174501
34,2,14,0.7348739320365314,0.0027530468238452046
34,3,12,0.7482517482517484,0.005124081698753058
34,4,11,0.6818181818181819,0.020842853610945056
34,5,10,0.8666666666666665,0.0011735381801554687
34,6,10,0.7454545454545454,0.013330146315440047
34,7,9,0.8451956828432803,0.004116597419302819
34,8,8,0.8383383833392812,0.009323115735056061
34,9,7,0.7500000000000002,0.05218140045705776
34,10,6,0.7714285714285715,0.07239650145772594
34,11,5,0.8999999999999998,0.03738607346849874
