season,week,n_contestants_rank,rho_rank,p_value_rank,n_contestants_share,rho_share,p_value_share,diff
25,9,5,0.9486832980505137,0.013846832988859107,5,0.09999999999999999,0.8728885715695383,-0.8486832980505137
25,10,4,0.0,1.0,4,0.0,1.0,0.0
26,1,8,0.9700772721497398,6.548558831120599e-05,8,0.9523809523809524,0.00026040002438725105,-0.017696319768787383
26,2,8,0.9036800488347748,0.0020757515937733376,8,0.9285714285714287,0.0008629681828999769,0.024891379736653896
26,3,6,0.7714285714285715,0.07239650145772594,6,0.942857142857143,0.0048046647230320545,0.17142857142857149
27,1,13,0.7345261419207739,0.004243140900969807,13,0.6208791208791209,0.02353816709643306,-0.11364702104165303
27,2,12,0.8682018740230752,0.0002499953074797676,12,0.7272727272727274,0.007355028857805126,-0.14092914675034784
27,3,11,0.849323922857635,0.0009379698490142482,11,0.7272727272727273,0.011204967253592057,-0.12205119558490773
27,4,10,0.6605782590758164,0.03759926615332362,10,0.6121212121212121,0.059972142477255234,-0.04845704695460429
27,5,9,0.6778302010921357,0.04480926269300501,9,0.2833333333333333,0.46003032896571994,-0.3944968677588023
27,6,9,0.8786687791935092,0.0018157963245634217,9,0.8166666666666667,0.007224785246358785,-0.06200211252684251
27,7,8,0.8193365776101958,0.01281650190367177,8,0.9285714285714287,0.0008629681828999769,0.10923485096123287
27,8,6,0.33394720739540396,0.5177002083054396,6,0.48571428571428577,0.32872303206997094,0.1517670783188818
27,9,4,0.7999999999999999,0.20000000000000007,4,-0.19999999999999998,0.8,-0.9999999999999999
28,1,12,0.795097679332747,0.0019934795684237016,12,0.8391608391608393,0.0006428259886278202,0.04406315982809228
28,2,12,0.9510489510489512,2.0384246324655723e-06,12,0.9720279720279721,1.2868115751495013e-07,0.020979020979020935
28,3,10,0.7173285415424762,0.019528343138302953,10,0.7939393939393938,0.0060999233136969115,0.07661085239691767
28,4,10,0.8389096502784892,0.002413988368815609,10,0.8787878787878788,0.0008138621117322101,0.0398782285093896
28,5,9,0.8499999999999999,0.003704777327585813,9,0.9500000000000001,8.762523965086177e-05,0.1000000000000002
28,6,9,0.41666666666666663,0.26458604674749614,9,0.8166666666666667,0.007224785246358785,0.4
28,7,8,0.6626987024788349,0.07330582330837655,8,0.7142857142857144,0.04652823228416724,0.051587011806879524
28,8,7,0.7500000000000002,0.05218140045705776,7,0.8928571428571429,0.006807187408935393,0.14285714285714268
28,9,6,0.6957252427829381,0.12478933744028704,6,0.5428571428571429,0.26570262390670557,-0.1528680999257952
28,10,5,0.09999999999999999,0.8728885715695383,5,0.19999999999999998,0.747060078104662,0.09999999999999999
28,11,4,-0.2581988897471611,0.7418011102528389,4,-0.6000000000000001,0.3999999999999999,-0.341801110252839
29,1,15,0.7828421356528003,0.0005589454131856442,15,0.8642857142857141,3.243373143346797e-05,0.08144357863291385
29,2,15,0.7406094140283834,0.0015878516763121878,15,0.782142857142857,0.0005697096277734958,0.0415334431144736
29,3,14,0.6292633070731974,0.01590344032406534,14,0.7142857142857143,0.00410440916188023,0.08502240721251686
29,4,13,0.8351648351648352,0.00038020808018512014,13,0.8901098901098902,4.5654374407447036e-05,0.05494505494505497
29,5,12,0.8391608391608393,0.0006428259886278202,12,0.8951048951048951,8.36658642909172e-05,0.055944055944055826
29,6,11,0.6241474051821412,0.04012404790153547,11,0.7363636363636363,0.009759535959916903,0.11221623118149515
29,7,10,0.6242424242424242,0.053717767217167395,10,0.7818181818181817,0.007547007781067878,0.1575757575757576
29,8,8,0.7619047619047621,0.028004939153071794,8,0.8095238095238096,0.014902667686230067,0.04761904761904756
29,9,7,0.6910233190806426,0.08556959003160274,7,0.6785714285714287,0.0937502539598313,-0.012451890509213914
29,10,6,0.8857142857142858,0.01884548104956266,6,0.942857142857143,0.0048046647230320545,0.05714285714285716
29,11,4,0.6000000000000001,0.3999999999999999,4,0.7999999999999999,0.20000000000000007,0.19999999999999984
