season,week,celebrity_name,vote_mean,judge_percentage,total_percentage,actual_elim_week,was_eliminated_this_week,results,rank,lowest_in_week,prediction_correct,eliminated_this_week,eliminated_rank,total_contestants
2,2,George Hamilton,0.110330170920903,0.11,0.220330170920903,6,False,Eliminated Week 6,5,False,False,Tatum O'Neal,2.0,9
2,2,Tatum O'Neal,0.1101185096394658,0.085,0.1951185096394658,2,True,Eliminated Week 2,2,False,False,Tatum O'Neal,2.0,9
2,2,Stacy Keibler,0.1097447799196897,0.145,0.2547447799196897,-1,False,3rd Place,9,False,False,Tatum O'Neal,2.0,9
2,2,Tia Carrere,0.1076069563063226,0.11,0.2176069563063226,5,False,Eliminated Week 5,4,False,False,Tatum O'Neal,2.0,9
2,2,Drew Lachey,0.1072410585982989,0.135,0.24224105859829892,-1,False,1st Place,8,False,False,Tatum O'Neal,2.0,9
2,2,Jerry Rice,0.1065740616850703,0.115,0.22157406168507032,-1,False,2nd Place,6,False,False,Tatum O'Neal,2.0,9
2,3,Giselle Fernandez,0.1292671862270804,0.1208791208791208,0.25014630710620117,3,True,Eliminated Week 3,4,False,False,Giselle Fernandez,4.0,8
2,3,Master P,0.1269072340806682,0.0769230769230769,0.2038303110037451,4,False,Eliminated Week 4,1,True,False,Giselle Fernandez,4.0,8
2,3,Tia Carrere,0.1265654650282744,0.1428571428571428,0.26942260788541716,5,False,Eliminated Week 5,7,False,False,Giselle Fernandez,4.0,8
2,3,Jerry Rice,0.1264918611005206,0.1043956043956044,0.230887465496125,-1,False,2nd Place,2,False,False,Giselle Fernandez,4.0,8
2,3,Lisa Rinna,0.1243846038686391,0.1373626373626373,0.2617472412312764,7,False,Eliminated Week 7,5,False,False,Giselle Fernandez,4.0,8
2,3,Drew Lachey,0.1229521389503827,0.1483516483516483,0.271303787302031,-1,False,1st Place,8,False,False,Giselle Fernandez,4.0,8
2,3,George Hamilton,0.1229241225845088,0.1208791208791208,0.24380324346362958,6,False,Eliminated Week 6,3,False,False,Giselle Fernandez,4.0,8
2,3,Stacy Keibler,0.1205073881599255,0.1483516483516483,0.2688590365115738,-1,False,3rd Place,6,False,False,Giselle Fernandez,4.0,8
2,4,Master P,0.1577588479047275,0.050632911392405,0.2083917592971325,4,True,Eliminated Week 4,1,True,True,Master P,1.0,7
2,4,Tia Carrere,0.1459375218507535,0.1582278481012658,0.3041653699520193,5,False,Eliminated Week 5,6,False,True,Master P,1.0,7
2,4,George Hamilton,0.1407767451237256,0.1329113924050632,0.2736881375287888,6,False,Eliminated Week 6,2,False,True,Master P,1.0,7
2,4,Drew Lachey,0.1404034256403701,0.1772151898734177,0.3176186155137878,-1,False,1st Place,7,False,True,Master P,1.0,7
2,4,Jerry Rice,0.1401826637897852,0.1518987341772152,0.2920813979670004,-1,False,2nd Place,3,False,True,Master P,1.0,7
2,4,Lisa Rinna,0.1385938130708599,0.1645569620253164,0.3031507750961763,7,False,Eliminated Week 7,5,False,True,Master P,1.0,7
2,4,Stacy Keibler,0.1363469826197778,0.1645569620253164,0.3009039446450942,-1,False,3rd Place,4,False,True,Master P,1.0,7
2,5,Jerry Rice,0.1801687558630337,0.152317880794702,0.3324866366577357,-1,False,2nd Place,4,False,True,Tia Carrere,1.0,6
2,5,Lisa Rinna,0.1726657942024697,0.1655629139072847,0.33822870810975436,7,False,Eliminated Week 7,5,False,True,Tia Carrere,1.0,6
2,5,George Hamilton,0.1696097420010029,0.1589403973509933,0.3285501393519962,6,False,Eliminated Week 6,2,False,True,Tia Carrere,1.0,6
